.\files\Cherry_(including_sour)___Powdery_mildew
Number	Total Leaf Area	Percent Leaf Damage	Image name
  0  	     37707     	     5.914021      	00705aa7-5ea2-4419-9440-8ba65e108eb9___FREC_Pwd.M 0267.JPG
  1  	     23225     	     14.596340     	00b7df55-c789-43d6-a02e-a579ac9d07e6___FREC_Pwd.M 4748.JPG
  2  	     27908     	     81.704171     	00d12ac0-a293-47e0-a4c6-a80f37204c39___FREC_Pwd.M 4812.JPG
  3  	     32443     	     11.860802     	00e0a4ab-ecbd-4560-a71c-b19d86bb087c___FREC_Pwd.M 4917.JPG
  4  	     32735     	     7.020009      	00f8611c-0f2c-4f24-8241-d1748c8bb48f___FREC_Pwd.M 0479.JPG
  5  	     35583     	     8.759801      	012b55cf-de7a-483a-9118-0fd8ff012185___FREC_Pwd.M 0423.JPG
  6  	     34105     	     11.159654     	02a749ab-890a-4165-9f17-c1e30a56ef41___FREC_Pwd.M 4868.JPG
  7  	     33661     	     5.077092      	02d6722b-1f47-4f11-b831-be4bba26b158___FREC_Pwd.M 4593.JPG
  8  	     31622     	     17.842009     	02d6c81a-c5dc-4b29-848a-7a0b8c42e5ed___FREC_Pwd.M 4699.JPG
  9  	     32750     	     3.044275      	02ecd449-7b27-44d7-b59e-7e31813f0c18___FREC_Pwd.M 0450.JPG
 10  	     33223     	     3.244740      	03132cd9-1649-4de0-aa41-de6eb60d4878___FREC_Pwd.M 0372.JPG
 11  	     34850     	     2.869440      	0325a93a-4fa1-4eae-a6a9-fc6baa82ca7f___FREC_Pwd.M 0434.JPG
 12  	     30429     	     6.907884      	03c5abe8-66c5-44d7-af97-3f55b3917610___FREC_Pwd.M 0252.JPG
 13  	     31861     	     17.811745     	041d97fc-da3d-4420-8f6f-2be0e7070f28___FREC_Pwd.M 0392.JPG
 14  	     27920     	     21.712034     	042944e9-9d32-4655-9c99-3908c8d30e72___FREC_Pwd.M 5152.JPG
 15  	     38100     	     8.212598      	042ef107-ff5c-4b88-8597-70fc7e82f178___FREC_Pwd.M 4624.JPG
 16  	     34002     	     14.905006     	04520e47-2269-475d-8e87-f87eb3bdc315___FREC_Pwd.M 0354.JPG
 17  	     35065     	     5.774989      	04a35542-f567-4ad4-a97f-f472d21d30dd___FREC_Pwd.M 4471.JPG
 18  	     38738     	     10.640715     	04cf30c9-dce7-4c98-8f2c-0464d8751ccb___FREC_Pwd.M 5000.JPG
 19  	     30876     	     8.702552      	04e83ad6-5456-4b00-a293-5537b708950c___FREC_Pwd.M 4928.JPG
 20  	     32603     	     3.732785      	04fa8868-8ba4-465a-85ce-9f9b114f97b5___FREC_Pwd.M 4568.JPG
 21  	     27816     	     6.629278      	053340db-a887-46bf-99d3-367b8175efd3___FREC_Pwd.M 4938.JPG
 22  	     28832     	     8.910239      	0543e14a-64f1-495c-a33c-a9e2463a2a50___FREC_Pwd.M 4632.JPG
 23  	     35251     	     5.883521      	05a5fedb-ff42-438a-aa3a-ff41ae4d903a___FREC_Pwd.M 4603.JPG
 24  	     27717     	     6.667388      	062e83b3-baee-4d36-9b62-6d2a19938027___FREC_Pwd.M 0314.JPG
 25  	     26308     	     4.797020      	063a1f13-313b-4ed5-bf9f-cc8b6ceff957___FREC_Pwd.M 4758.JPG
 26  	     26865     	     6.547553      	06a6c36c-95b7-40b2-9ad5-0f23e8ef7f37___FREC_Pwd.M 4756.JPG
 27  	     32700     	     8.963303      	06e75876-ed4e-40e9-8e82-0b6b4a00eafb___FREC_Pwd.M 0279.JPG
 28  	     36551     	     4.957457      	0705b5fa-5607-4b8b-87b7-dd453a896a86___FREC_Pwd.M 4842.JPG
