.\files\Apple___Apple_scab
Number	Total Leaf Area	Percent Leaf Damage	Image name
  0  	     1143      	    3445.231846    	00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG
  1  	     3838      	    673.814487     	01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG
  2  	      994      	    4844.869215    	01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG
  3  	     21966     	    129.117727     	0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG
  4  	     2730      	    1596.703297    	023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG
  5  	     3706      	    973.799244     	0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG
  6  	     1082      	    1983.733826    	029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG
  7  	     2346      	    1528.175618    	03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG
  8  	     6347      	    586.655113     	0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG
  9  	     3046      	    1159.225213    	0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG
 10  	      705      	    4377.588652    	03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG
 11  	     2983      	    1438.652363    	0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG
 12  	      265      	   10608.679245    	058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG
 13  	     8817      	    360.133832     	0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG
 14  	     3000      	    1372.966667    	0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG
 15  	     1057      	    2486.944182    	06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG
 16  	     1104      	    3518.025362    	073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG
 17  	     5910      	    350.000000     	075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG
 18  	      952      	    3519.852941    	0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG
 19  	      925      	    3796.000000    	0896ecbc-1af2-4868-8279-ed302acb29bc___FREC_Scab 3339.JPG
 20  	     1593      	    2769.868173    	08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG
 21  	     21797     	    190.507868     	095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG
 22  	     8792      	    394.608735     	09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG
 23  	     7807      	    330.741642     	09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG
 24  	      452      	    5386.283186    	0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG
 25  	      971      	    3863.336766    	0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG
 26  	     9227      	    495.513168     	0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG
 27  	      519      	    5804.816956    	0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG
 28  	     8492      	    472.044277     	0b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.JPG
 29  	     3614      	    1256.502490    	0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG
 30  	     4830      	    568.571429     	0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG
 31  	     8965      	    343.703291     	0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG
 32  	      216      	    8007.870370    	0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG
 33  	     6434      	    723.608952     	0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG
 34  	     1955      	    1333.145780    	0d8d5b80-962d-4381-8d3b-9eca3f2f1bb0___FREC_Scab 3449.JPG
 35  	     8442      	    433.913765     	0db71c1d-93d7-4481-b0d0-b73f995131a9___FREC_Scab 2976.JPG
 36  	     2014      	    1532.571996    	0e90fe4a-e8b6-4186-9429-a9fea180af9a___FREC_Scab 3391.JPG
 37  	     3120      	    1387.051282    	0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG
 38  	     2413      	    1404.890178    	10072248-60e2-4190-b4df-14e8ab61008c___FREC_Scab 3445.JPG
 39  	      206      	    5597.087379    	106aaa5f-c98d-482d-88ef-8e5170e9072d___FREC_Scab 3489.JPG
 40  	      805      	    3923.850932    	11c50257-617e-4a6a-a996-2b195af9ada4___FREC_Scab 3462.JPG
 41  	     4314      	    747.519703     	11f5b020-3dfd-400c-9819-7d229bc5f929___FREC_Scab 2945.JPG
 42  	      525      	    2094.095238    	12bc3d5c-2409-426e-b6cb-a08cbf488153___FREC_Scab 3154.JPG
 43  	      462      	    6850.216450    	133c27cd-57f6-4790-b446-972327e13194___FREC_Scab 3362.JPG
 44  	     4018      	    898.606272     	13b10b04-7da6-4d34-8b43-258239a25ffd___FREC_Scab 2990.JPG
 45  	     7062      	    531.973945     	13b16e68-c82c-4de8-ab34-877ff352e821___FREC_Scab 3180.JPG
 46  	     8821      	    516.018592     	13f31401-f65a-4025-823a-4f2738e8bff9___FREC_Scab 3062.JPG
 47  	     12925     	    147.705996     	14c623e5-051c-42f6-9e4f-f7a93e6a723c___FREC_Scab 2965.JPG
 48  	     1337      	    1833.059088    	1547f817-6a4d-4cbc-8ce0-7dff293562ee___FREC_Scab 3194.JPG
 49  	     7604      	    342.688059     	154842bb-6ee3-4176-9007-cf7a43cfe140___FREC_Scab 3434.JPG
 50  	     1549      	    3235.119432    	15bfa086-7d4a-43c0-800d-2fe8255ba50c___FREC_Scab 3150.JPG
 51  	      634      	    3728.706625    	162d8ca4-7cd3-46f1-904f-09721df3e498___FREC_Scab 3336.JPG
 52  	     3405      	    1129.221733    	1637ad84-640c-41e7-9be7-6d8e7769b875___FREC_Scab 3110.JPG
 53  	     3281      	    1315.117342    	176a93ed-6c2d-4828-ada1-87f1688b509b___FREC_Scab 3083.JPG
 54  	     4980      	    601.485944     	18ab74ed-8e95-4787-b2e1-1283594bd00b___FREC_Scab 3012.JPG
 55  	     1008      	    3029.464286    	18e95262-fb0a-472c-93ab-e03138a360dc___FREC_Scab 3366.JPG
 56  	     2576      	    1043.866460    	18ea82fd-4e16-416f-8ad9-54e0f6601693___FREC_Scab 3127.JPG
 57  	      959      	    2068.196038    	1962d1ec-fb66-4583-b631-81cd23ecf063___FREC_Scab 3238.JPG
 58  	     5880      	    678.673469     	1a21aabb-6f74-4644-8d9e-a517568b7e9c___FREC_Scab 3095.JPG
 59  	      790      	    4433.797468    	1a304331-98b5-473f-bbb1-c33b8441052a___FREC_Scab 3296.JPG
 60  	     1962      	    1527.370031    	1a4047d7-23d6-4bba-ba10-b6e7005ea01b___FREC_Scab 3193.JPG
 61  	      782      	    1666.624041    	1a41bab0-45e0-4dda-a798-9bf4a998f1b6___FREC_Scab 3450.JPG
 62  	     1084      	    3632.195572    	1b1004c8-99e9-4c85-8fe5-b1c11d558cf8___FREC_Scab 3300.JPG
 63  	     9099      	    423.068469     	1bc60205-27cc-4d10-bc87-7e968573e5d5___FREC_Scab 3531.JPG
 64  	     4813      	    777.062123     	1bcc3b5d-7e00-43fb-983e-95ae271a715b___FREC_Scab 3061.JPG
